vg,Jg,ve,Je,Measured Fitted Freq. (THz),AlCl,Type
1, 0, 1, 1, 1145.258298, 35, R
1, 1, 1, 2, 1145.272821, 35, R
1, 2, 1, 3, 1145.287159, 35, R
1, 3, 1, 4, 1145.301734, 35, R
1, 4, 1, 5, 1145.316049, 35, R
1, 5, 1, 6, 1145.330444, 35, R
1, 3, 1, 2, 1145.200296, 35, P
1, 4, 1, 3, 1145.185899, 35, P
1, 2, 1, 3, 1145.307692, 37, R
1, 5, 1, 4, 1145.171333, 35, P
1, 1, 1, 1, 1145.243723, 35, Q
1, 1, 1, 1, 1145.265333, 37, Q
