vg,Jg,ve,Je,Measured Fitted Freq. (THz),AlCl,Type
0, 1, 0, 1, 1145.243716, 35, Q
0, 1, 0, 1, 1145.265320, 37, Q
0, 0, 0, 1, 1145.258260, 35, R
0, 1, 0, 2, 1145.272812, 35, R
0, 2, 0, 3, 1145.287155, 35, R
0, 3, 0, 4, 1145.301709, 35, R
0, 4, 0, 5, 1145.316037, 35, R
0, 5, 0, 6, 1145.330435, 35, R
